site_name,wbid,ir_wbid,latitude,longitude,sample_id,collection_date,year,huc_8,riverbasin,cycle,pcid,comid,basin,mod_ecoregion,oldecoregion,watershed_area,fwp,totalindividuals,total_species,sensitive_benthic_species,sunfish_species,intolerant_species,proportion_tolerant,proportion_insectivorous,proportion_lithophilic,percentdelt,total_species_score,sensitive_benthic_score,sunfish_species_score,intolerant_species_score,tolerant_score,insectivorous_score,lithophilic_score,total_score,comparison_to_reference,integrity_class,lettergrade,task,collection_date_str,score_validated
West Elm: Douglas Blvd.,OK520810-00-0140K,OK520810000140_00,35.31817,-97.3706,60619,2018-08-29,2018,11090203,Canadian R.,4,OK520810-00-0140K_4,481876,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,45.7776,WWAC,362,12,2,6,1,0.428176796,0.165745856,0.406077348,0,3,3,5,3,1,1,5,21,0.923076923,Excellent,,Blue Thumb,2018-08-29,True
Wewoka Creek: Lima (N 3610),OK520500-02-0010Q,OK520500020010_00,35.1721944,-96.5816666,31143,2004-09-01,2004,11100302,Canadian R.,1,OK520500-02-0010Q_1,418153,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,245.862,WWAC,796,13,1,5,1,0.793969849,0.204773869,0.0,0,3,1,5,3,1,3,1,17,0.747252747,Fair,,Blue Thumb,2004-09-01,True
Wewoka Creek: Lima (N 3610),OK520500-02-0010Q,OK520500020010_00,35.1721944,-96.5816666,36246,2006-08-09,2006,11100302,Canadian R.,2,OK520500-02-0010Q_2,418153,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,245.862,WWAC,1194,18,2,6,1,0.866834171,0.131490787,0.001675042,0,5,3,5,3,1,1,1,19,0.835164835,Good,,Blue Thumb,2006-08-09,True
"Whitewater Creek: D 4650, Scott",OK121600-03-0320K,OK121600030320_00,36.497,-94.75716667,35775,2006-07-25,2006,11070206,Arkansas R.,2,OK121600-03-0320K_2,7585095,Neosho-Grand,Ozark Highlands,Ozark Highlands,66.2247,CWAC,2060,10,6,0,7,0.0,0.71407767,0.998543689,0,3,5,1,3,5,5,5,27,0.801900802,Good,,Blue Thumb,2006-07-25,True
Whitewater Creek: E 330 Road,OK121600-03-0320G,OK121600030320_00,36.539,-94.7596389,35774,2006-07-24,2006,11070206,Arkansas R.,2,OK121600-03-0320G_2,7583465,Neosho-Grand,Ouachita Mountains,Ozark Highlands,79.9821,CWAC,762,23,7,6,9,0.208661417,0.337270341,0.776902887,0,5,5,5,5,3,3,5,31,1.107142857,Excellent,,Blue Thumb,2006-07-24,True
Whitewater Creek: E 330 Road,OK121600-03-0320G,OK121600030320_00,36.539,-94.75964,56993,2017-01-17,2016,11070206,Arkansas R.,4,OK121600-03-0320G_4,7583465,Neosho-Grand,Ouachita Mountains,Ozark Highlands,79.9821,CWAC,666,23,8,7,11,0.097597598,0.148648649,0.893393393,0,5,5,5,5,5,1,5,31,1.107142857,Excellent,,Blue Thumb,2017-01-17,True
Whitewater Creek: E 330 Road,OK121600-03-0320G,OK121600030320_00,36.539,-94.7596389,65652,2021-07-26,2021,11070206,Arkansas R.,5,OK121600-03-0320G_5,7583465,Neosho-Grand,Ozark Highlands,,29.85801738,CWAC,2541,23,10,7,13,0.0,0.219205037,0.898858717,0,5,5,5,5,5,3,5,33,0.98010098,Excellent,A,Blue Thumb,2021-07-26,True
Whitewater Creek: E 330 Road,OK121600-03-0320G,OK121600030320_00,36.539,-94.7596389,65652,2021-07-26,2021,11070206,Arkansas R.,5,OK121600-03-0320G_5,7583465,Neosho-Grand,Ozark Highlands,,29.85801738,CWAC,2541,23,10,7,13,0.084612357,0.219205037,0.898858717,0,5,5,5,5,5,3,5,33,0.98010098,Excellent,A,Blue Thumb,2021-07-26,True
Wildhorse Creek: N 3520 Road,OK620900-01-0320G,OK620900010320_00,35.92025,-96.7316111,33755,2005-08-03,2005,11050003,Cimarron R.,1,OK620900-01-0320G_1,496360,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,49.0545,WWAC,613,15,3,7,1,0.905383361,0.021207178,0.065252855,0,5,5,5,3,1,1,1,21,0.923076923,Excellent,,Blue Thumb,2005-08-03,True
Wolf Creek: McMahon Soccer Park,OK311300-02-0040M,OK311300020040_00,34.59065,-98.43493333,38167,2007-08-09,2007,11130202,Upper Red R.,2,OK311300-02-0040M_2,673458,Washita-Red,Central Great Plains,Central Great Plains,78.5304,WWAC,287,18,2,6,2,0.470383275,0.257839721,0.261324042,0,5,5,5,5,1,3,3,27,1.206434316,Excellent,,Blue Thumb,2007-08-09,True
Wolf Creek: McMahon Soccer Park,OK311300-02-0040M,OK311300020040_00,34.59065,-98.43493,53899,2014-08-07,2014,11130202,Upper Red R.,3,OK311300-02-0040M_3,673458,Washita-Red,Central Great Plains,Central Great Plains,78.5304,WWAC,576,6,2,1,0,0.727430556,0.130208333,0.142361111,0,3,5,1,1,1,1,1,13,0.580875782,Poor,,Blue Thumb,2014-08-07,True
Wolf Creek: McMahon Soccer Park,OK311300-02-0040M,OK311300020040_00,34.59065,-98.43493,62322,2019-07-16,2019,11130202,Upper Red R.,4,OK311300-02-0040M_4,673458,Washita-Red,Central Great Plains,Central Great Plains,78.5304,WWAC,181,12,3,5,1,0.26519337,0.016574586,0.718232044,0,5,5,5,5,1,1,5,27,1.206434316,Excellent,,Blue Thumb,2019-07-16,True
Wolf Creek: US Hwy 283,OK720500-03-0010T,OK720500030010_00,36.30192,-99.88236,58993,2018-01-16,2017,11100203,Canadian R.,4,OK720500-03-0010T_4,13812850,Cimarron-Upper Arkansas,Southwestern Tablelands,Southwestern Tablelands,3635.348,WWAC,425,9,0,4,0,1.0,0.0,0.0,0,5,1,5,1,1,1,1,15,0.625,Fair,,Blue Thumb,2018-01-16,True
Wolf Creek: US Hwy 46,OK720500-03-0010M,OK720500030010_00,36.32638889,-99.76080556,33819,2005-09-13,2005,11100203,Canadian R.,1,OK720500-03-0010M_1,13813330,Cimarron-Upper Arkansas,Southwestern Tablelands,Southwestern Tablelands,3782.673,WWAC,243,9,2,2,1,0.95473251,0.012345679,0.0,0,5,5,3,5,1,1,1,21,0.875,Good,,Blue Thumb,2005-09-13,True
Wolf Creek: US Hwy 46,OK720500-03-0010M,OK720500030010_00,36.32638889,-99.76080556,44194,2009-06-24,2009,11100203,Canadian R.,2,OK720500-03-0010M_2,13813330,Cimarron-Upper Arkansas,Southwestern Tablelands,Southwestern Tablelands,3782.673,WWAC,416,8,1,3,1,0.920673077,0.079326923,0.0,0,5,5,5,5,1,1,1,23,0.958333333,Excellent,,Blue Thumb,2009-06-24,True
Wolf Creek: Gore Blvd.,OK311300-02-0040X,OK311300020040_00,34.60876,-98.44398,56724,2016-07-28,2016,11130202,Upper Red R.,4,OK311300-02-0040X_4,673458,Washita-Red,Central Great Plains,Central Great Plains,78.5304,WWAC,442,18,2,8,0,0.918552036,0.031674208,0.027149321,0,5,5,5,1,1,1,1,19,0.848972297,Good,,Blue Thumb,2016-07-28,True
Wolf Creek: Gore Blvd.,OK311300-02-0040X,OK311300020040_00,34.60876,-98.44398,56720,2016-07-28,2016,11130202,Upper Red R.,4,OK311300-02-0040X_4,673458,Washita-Red,Central Great Plains,Central Great Plains,78.5304,WWAC,1107,17,3,7,1,0.724480578,0.076784101,0.173441734,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2016-07-28,True
Wolf Creek: Gore Blvd.,OK311300-02-0040X,OK311300020040_00,34.60876,-98.44398,62320,2016-07-28,2019,11130202,Upper Red R.,4,OK311300-02-0040X_4,673458,Washita-Red,Central Great Plains,Central Great Plains,78.5304,WWAC,771,15,3,8,1,0.250324254,0.04150454,0.704280156,0,5,5,5,5,1,1,5,27,1.206434316,Excellent,,Blue Thumb,2016-07-28,True
"Woods Creek: Hwy 63, Whitesboro",OK410310-02-0050D,OK410310020050_00,34.69272222,-94.88238889,37351,2011-07-01,2007,11140105,Little R.,2,OK410310-02-0050D_2,587198,L Red,Ouachita Mountains,Ouachita Mountains,15.9858,WWAC,188,8,1,3,0,0.069148936,0.021276596,0.893617021,0,3,1,5,1,5,1,5,21,0.797569313,Good,,Blue Thumb,2011-07-01,True
"Woods Creek: Hwy 63, Whitesboro",OK410310-02-0050D,OK410310020050_00,34.69272222,-94.88238889,48473,2011-07-01,2011,11140105,Little R.,2,OK410310-02-0050D_2,587198,L Red,Ouachita Mountains,Ouachita Mountains,15.9858,WWAC,40,6,2,3,1,0.85,0.0,0.15,0,3,3,5,1,1,1,1,15,0.569692366,Poor,,Blue Thumb,2011-07-01,True
Yashoo Creek: Little River NWR,OK410200-01-0230B,OK410200010200_00,33.9486944,-94.7345,33764,2005-08-31,2005,11140107,Little R.,1,OK410200-01-0230B_1,618616,L Red,South Central Plains,South Central Plains,170.2449,CWAC,514,21,3,8,6,0.416342412,0.317120623,0.284046693,0,5,3,5,5,1,3,3,25,1.0,Excellent,,Blue Thumb,2005-08-31,True
Yashoo Creek: Little River NWR,OK410200-01-0230B,OK410200010200_00,33.9486944,-94.7345,48471,2011-06-29,2011,11140107,Little R.,2,OK410200-01-0230B_2,618616,L Red,South Central Plains,South Central Plains,170.2449,CWAC,376,22,4,6,6,0.579787234,0.146276596,0.218085106,0,5,3,5,5,1,1,3,23,0.92,Excellent,,Blue Thumb,2011-06-29,True
Yashoo Creek: Little River NWR,OK410200-01-0230B,OK410200010200_00,33.94869,-94.7345,56729,2016-08-09,2016,11140107,Little R.,3,OK410200-01-0230B_3,618616,L Red,South Central Plains,South Central Plains,170.2449,CWAC,599,29,6,8,8,0.647746244,0.141903172,0.135225376,0,5,5,5,5,1,1,1,23,0.92,Excellent,,Blue Thumb,2016-08-09,True
